topic	split
CD001920	training
CD006103	training
CD010216	training
CD013862	training
CD014160	training
CD014226	training
CD014612	training
CD015592	training
CD015701	training
CD015705	training
CD015749	training
CD015751	training
CD015786	training
CD015802	training
CD015804	training
CD015820	training
CD015890	training
CD016058	training
CD016070	training
CD016071	training
CD008973	test
CD013166	test
CD013603	test
CD013763	test
CD013856	test
CD015127	test
CD015551	test
CD015721	test
CD015746	test
CD015788	test
CD015790	test
CD015794	test
CD015806	test
CD015894	test
CD016013	test
